label_is_ai,jitter_local_pct,jitter_rap_pct,jitter_ppq5_pct,shimmer_local_pct,shimmer_apq3_pct,shimmer_apq5_pct,hnr_mean_db,hnr_std_db,cpp,spectral_flatness,spectral_rolloff_95_hz,hf_energy_ratio,mfcc_dynamic_variance,silence_floor_db,breath_pause_ratio
1,0.726,0.435,0.453,0.441,0.252,0.286,35.58,7.2,0.1608,0.0825,1606.4,0.0002,41.88,-91.5,0.0
1,0.825,0.526,0.483,0.428,0.245,0.269,35.84,9.2,0.1912,0.12362,2271.9,0.0006,51.62,-92.0,0.0
1,0.765,0.474,0.474,0.45,0.259,0.284,35.81,7.95,0.1706,0.08679,1754.2,0.0005,40.02,-92.3,0.0
1,0.717,0.434,0.416,0.43,0.247,0.273,35.49,7.73,0.1486,0.11017,1908.6,0.0004,52.93,-92.0,0.0
1,0.818,0.511,0.514,0.443,0.25,0.278,34.14,8.04,0.188,0.10477,2084.5,0.0009,45.18,-91.8,0.0
1,0.728,0.439,0.441,0.503,0.296,0.32,35.13,7.57,0.1579,0.09497,1765.6,0.0003,46.53,-92.2,0.0
1,0.738,0.447,0.455,0.422,0.248,0.26,35.2,7.57,0.1525,0.0851,1748.2,0.0006,42.75,-91.7,0.0
1,0.908,0.581,0.558,0.445,0.257,0.272,34.52,7.94,0.2104,0.08596,1956.0,0.0007,38.02,-91.6,0.0
1,0.61,0.326,0.324,0.481,0.291,0.286,36.04,8.23,0.1036,0.12461,2003.5,0.0008,72.02,-92.2,0.0
1,0.824,0.511,0.499,0.468,0.27,0.309,34.19,7.39,0.1831,0.08777,1895.8,0.0007,38.16,-92.3,0.0
1,0.833,0.526,0.524,0.457,0.264,0.293,34.15,7.98,0.2261,0.09427,2094.0,0.0008,40.15,-91.6,0.0
1,0.933,0.592,0.578,0.491,0.281,0.313,33.85,8.05,0.2162,0.11607,2349.7,0.001,46.78,-91.2,0.0
1,0.849,0.541,0.543,0.462,0.269,0.295,34.38,8.2,0.2227,0.08317,1958.6,0.0003,36.17,-92.4,0.0
1,0.79,0.486,0.491,0.446,0.254,0.283,34.55,7.65,0.1826,0.08945,1946.9,0.0007,39.3,-91.9,0.0
1,0.626,0.321,0.343,0.461,0.272,0.283,35.96,7.89,0.1143,0.08446,1548.3,0.0006,50.58,-92.6,0.0
1,0.857,0.553,0.559,0.417,0.237,0.259,34.91,8.83,0.2217,0.09651,2145.1,0.0005,41.05,-91.3,0.0
1,0.768,0.485,0.481,0.436,0.255,0.284,35.77,8.37,0.1916,0.09042,1734.1,0.0002,42.55,-91.8,0.0
